when using hse as pll input
hse is 25MHz

fs: 12 MHz 12000000  m: 25, n:  96, q:  2, p: 8
fs: 12 MHz 12000000  m: 50, n: 192, q:  2, p: 8
fs: 16 MHz 16000000  m: 25, n:  96, q:  2, p: 6
fs: 16 MHz 16000000  m: 50, n: 192, q:  2, p: 6
fs: 18 MHz 18000000  m: 25, n: 144, q:  3, p: 8
fs: 18 MHz 18000000  m: 50, n: 288, q:  3, p: 8
fs: 24 MHz 24000000  m: 25, n:  96, q:  2, p: 4
fs: 24 MHz 24000000  m: 25, n: 144, q:  3, p: 6
fs: 24 MHz 24000000  m: 25, n: 192, q:  4, p: 8
fs: 24 MHz 24000000  m: 50, n: 192, q:  2, p: 4
fs: 24 MHz 24000000  m: 50, n: 288, q:  3, p: 6
fs: 24 MHz 24000000  m: 50, n: 384, q:  4, p: 8
fs: 30 MHz 30000000  m: 10, n:  96, q:  5, p: 8
fs: 30 MHz 30000000  m: 15, n: 144, q:  5, p: 8
fs: 30 MHz 30000000  m: 20, n: 192, q:  5, p: 8
fs: 30 MHz 30000000  m: 25, n: 240, q:  5, p: 8
fs: 30 MHz 30000000  m: 30, n: 288, q:  5, p: 8
fs: 30 MHz 30000000  m: 35, n: 336, q:  5, p: 8
fs: 30 MHz 30000000  m: 40, n: 384, q:  5, p: 8
fs: 30 MHz 30000000  m: 45, n: 432, q:  5, p: 8
fs: 32 MHz 32000000  m: 25, n: 192, q:  4, p: 6
fs: 32 MHz 32000000  m: 50, n: 384, q:  4, p: 6
fs: 36 MHz 36000000  m: 25, n: 144, q:  3, p: 4
fs: 36 MHz 36000000  m: 25, n: 288, q:  6, p: 8
fs: 36 MHz 36000000  m: 50, n: 288, q:  3, p: 4
fs: 40 MHz 40000000  m: 10, n:  96, q:  5, p: 6
fs: 40 MHz 40000000  m: 15, n: 144, q:  5, p: 6
fs: 40 MHz 40000000  m: 20, n: 192, q:  5, p: 6
fs: 40 MHz 40000000  m: 25, n: 240, q:  5, p: 6
fs: 40 MHz 40000000  m: 30, n: 288, q:  5, p: 6
fs: 40 MHz 40000000  m: 35, n: 336, q:  5, p: 6
fs: 40 MHz 40000000  m: 40, n: 384, q:  5, p: 6
fs: 40 MHz 40000000  m: 45, n: 432, q:  5, p: 6
fs: 42 MHz 42000000  m: 25, n: 336, q:  7, p: 8
fs: 48 MHz 48000000  m: 25, n:  96, q:  2, p: 2
